Date;Température (°C)
2022-01-01T01:00:00+01:00;9.700000000000045
2022-01-01T04:00:00+01:00;8.900000000000034
2022-01-01T07:00:00+01:00;7.800000000000011
2022-01-01T10:00:00+01:00;7.5
2022-01-01T13:00:00+01:00;12.200000000000045
2022-01-01T16:00:00+01:00;12.900000000000034
2022-01-01T19:00:00+01:00;10.100000000000023
2022-01-01T22:00:00+01:00;9.600000000000023
2022-01-02T01:00:00+01:00;8.700000000000045
2022-01-02T04:00:00+01:00;9.200000000000045
2022-01-02T07:00:00+01:00;10.100000000000023
2022-01-02T10:00:00+01:00;10.700000000000045
2022-01-02T13:00:00+01:00;12.900000000000034
2022-01-02T16:00:00+01:00;13.600000000000023
2022-01-02T19:00:00+01:00;12.700000000000045
2022-01-02T22:00:00+01:00;12.200000000000045
2022-01-03T01:00:00+01:00;11.300000000000011
2022-01-03T04:00:00+01:00;10.5
2022-01-03T07:00:00+01:00;10.600000000000023
2022-01-03T10:00:00+01:00;10.700000000000045
2022-01-03T13:00:00+01:00;11.800000000000011
2022-01-03T16:00:00+01:00;11.400000000000034
2022-01-03T19:00:00+01:00;11.800000000000011
2022-01-03T22:00:00+01:00;11.600000000000023
2022-01-04T01:00:00+01:00;11.0
2022-01-04T04:00:00+01:00;11.300000000000011
2022-01-04T07:00:00+01:00;7.900000000000034
2022-01-04T10:00:00+01:00;7.800000000000011
2022-01-04T13:00:00+01:00;8.600000000000023
2022-01-04T16:00:00+01:00;9.400000000000034
2022-01-04T19:00:00+01:00;8.300000000000011
2022-01-04T22:00:00+01:00;5.300000000000011
2022-01-05T01:00:00+01:00;3.900000000000034
2022-01-05T04:00:00+01:00;1.7000000000000455
2022-01-05T07:00:00+01:00;1.3000000000000114
2022-01-05T10:00:00+01:00;2.3000000000000114
2022-01-05T13:00:00+01:00;6.100000000000023
2022-01-05T16:00:00+01:00;6.5
2022-01-05T19:00:00+01:00;2.7000000000000455
2022-01-05T22:00:00+01:00;2.1000000000000227
2022-01-06T01:00:00+01:00;1.2000000000000455
2022-01-06T04:00:00+01:00;0.10000000000002274
2022-01-06T07:00:00+01:00;-0.39999999999997726
2022-01-06T10:00:00+01:00;1.3000000000000114
2022-01-06T13:00:00+01:00;5.400000000000034
2022-01-06T16:00:00+01:00;5.600000000000023
2022-01-06T19:00:00+01:00;4.100000000000023
2022-01-06T22:00:00+01:00;3.6000000000000227
2022-01-07T01:00:00+01:00;3.2000000000000455
2022-01-07T04:00:00+01:00;2.8000000000000114
2022-01-07T07:00:00+01:00;3.400000000000034
2022-01-07T10:00:00+01:00;4.300000000000011
2022-01-07T13:00:00+01:00;6.800000000000011
2022-01-07T16:00:00+01:00;7.7000000000000455
2022-01-07T19:00:00+01:00;6.800000000000011
2022-01-07T22:00:00+01:00;6.5
2022-01-08T01:00:00+01:00;5.0
2022-01-08T04:00:00+01:00;2.5
2022-01-08T07:00:00+01:00;3.1000000000000227
